휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
아세안자연휴양림,경기도,공유림,583880,500,일반(개인 1000원+단체 800원)+청소년(개인 600원+단체 500원)+어린이(개인 300원+단체200원),Y,숲속의집14동+안내센터+다목적광장 등,경기도 양주시 백석읍 기산로 472,산림청,031-871-2796,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0104,37.77382293,126.9421758,2022.11.23,5590000,경기도 양주시
장흥 자연휴양림,경기도,사유림,499000,300,무료,N,물놀이장+썰매장,경기도 양주시 장흥면 권율로 594,민간(㈜해성농림),080-233-7766,http://www.fes-artvalley.com/,37.75816692,126.9685293,2022.11.23,5590000,경기도 양주시
사천 케이블카 자연휴양림,경상남도,공유림,394000,250,어른(개인 1000원+단체 800원)+청소년·군인(개인 700원+단체 500원)+어린이(개인 400원+단체 200원),Y,숲속의집+휴양관+야영장+야영센터+어린이 물놀이장+숲놀이터+숲속 산책로,경상남도 사천시 실안길 242-45,경상남도 사천시청 녹지공원과,055-835-9524,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030112,34.95016897,128.0576108,2022.10.20,5340000,경상남도 사천시
자굴산 자연휴양림,경상남도,공유림,38336,200,숲속의 집 (노각동 130000원+벌집동 150000원+단체동 250000원)+카라반 120000원+야영장 17000원+어린이물놀이장 5000원+주차장 2000원,Y,노각센터+숲속의 집+숲놀이터+물놀이터+야영장+카라반+숲속공연장+산림욕장+네트어드벤처+도깨비황금동굴,,경상남도 의령군청,055-572-0030,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030113,35.377313,128.208971,2022.11.21,5390000,경상남도 의령군
입화산 자연휴양림,울산광역시,공유림,380291,132,무료,Y,오토캠핑장+이동식주택(카라반)+산림욕장+숲속도서관+네이처스포츠+모노레일,울산광역시 중구 다운동 산47-1번지,울산광역시 중구,052-290-4410,,35.578739,129.279479,2022.9.21,3690000,울산광역시 중구
수레의산자연휴양림,충청북도,공유림,890000,91,무료+숙박시설별도,Y,숙박시설+캠핑장+산책로+화장실 등,충청북도 음성군 생극면 차생로 310-108,충청북도 음성군,043-878-2013,www.eumseong.go.kr/forest,37.03888889,127.6513842,2022.11.7,4470000,충청북도 음성군
옥화자연휴양림,충청북도,공유림,1364921,244,어른 1000원 + 청소년 500원 + 어린이 300원 + 군인 500원 + 지역주민 500원,Y,숲속의집+산림휴양관+캠핑장+산책로 등,충청북도 청주시 상당구 미원면 운암옥화길 140,충청북도 청주시청(위탁운영),043-270-7381,https://www.foresttrip.go.kr,36.59895012,127.6943716,2022.7.1,6430000,충청북도
문성자연휴양림,충청북도,공유림,566569,180,무료,Y,숲속의집+단체숙소+휴양관+유아숲체험원+목재문화체험장+짚라인+오토캠핑장+산책로 등,충청북도 충주시 노은면 우성1길 191,충청북도 충주시청(위탁운영),043-850-7346,https://www.foresttrip.go.kr,37.02832602,127.7525217,2022.7.1,6430000,충청북도
봉황자연휴양림,충청북도,공유림,1720000,176,무료,Y,숲속의집+단체숙소+산책로 등,충청북도 충주시 중앙탑면 수룡봉황길 540,충청북도 충주시청(위탁운영),043-850-7315,https://www.foresttrip.go.kr,37.05652228,127.8297465,2022.7.1,6430000,충청북도
계명산자연휴양림,충청북도,공유림,3630791,149,무료,Y,숲속의집+단체숙소+연립동+치유센터+산책로 등,충청북도 충주시 충주호수로 1170,충청북도 충주시청(위탁운영),043-850-7313,https://www.foresttrip.go.kr,36.97931793,127.9950865,2022.7.1,6430000,충청북도
유치자연휴양림,전라남도,공유림,53.7,2000,비수기(1000원)+성수기(2000원),Y,숲속의집+야영데크+물놀이장,전라남도 장흥군 유치면 휴양림길 154,전라남도 장흥군청,061-863-6350,www.jangheung.go.kr/yuchi,34.76806521,126.8323492,2023.4.14,4910000,전라남도 장흥군
옥전자연휴양림,충청북도,공유림,1090000,42,무료,Y,숲속의집+농산물판매장 등,충청북도 제천시 봉양읍 옥전길 195,충청북도 제천시청,043-641-6527,https://www.foresttrip.go.kr,37.174689,128.089444,2022.7.1,6430000,충청북도
강릉임해자연휴양림,강원도,공유림,1160000,105,비수기 평일[(6인실)70000원+(5인실)65000원+(4인실)50000원]+비수기 주말[(6인실)120000원+(5인실)110000원+(4인실)90000원]+성수기[(6인실)140000원+(5인실)130000원+(4인실)100000원],Y,숙박동(하늘동+구름동+바다동+숲속동)+숲속의집,강원도 강릉시 강동면 율곡로 1715-85,강릉관광개발공사,033-644-9483,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030100,37.71856556,128.9985453,2023.3.15,4200000,강원도 강릉시
금강자연휴양림,충청남도,공유림,1840000,226,1500,Y,숲속의 집+휴양관+야영장,세종특별자치시 금남면 산림박물관길110,산림자원연구소,041-635-7400,keumkang.chungnam.go.kr,36.43769938,127.2327429,2023.3.24,6440000,충청남도
계명산자연휴양림,경상북도,공유림,2500000,177,일반1000원+단체800원(어른),Y,숲속의 집+황토방+산림휴양관+복합산림휴양관+산막+야영장 등,경상북도 안동시 길안면 고란길 207-99,경상북도 안동시청 공원녹지과,054-850-4700,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030029,36.41012056,128.9465131,2023.3.31,5070000,경상북도 안동시
오도산 자연휴양림,경상남도,공유림,2700000,1000,1000,Y,숲속의집+청소년수련관+야영데크+취사장+관리사무소+사방댐 등,경상남도 합천군 봉산면 오도산휴양로 398,경상남도 합천군청,055-930-3741,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030068,35.66904355,128.0538747,2023.4.7,5480000,경상남도 합천군
문성자연휴양림,충청북도,공유림,560000,145,무료,Y,숲속의집+단체숙소,충청북도 충주시 노은면 우성1길 191,충주시시설관리공단,043-870-7910,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030055,37.02832486,127.7525206,2023.3.31,4390000,충청북도 충주시
봉황자연휴양림,충청북도,공유림,1740000,200,무료,Y,숲속의집+단체숙소,충청북도 충주시 중앙탑면 수룡봉황길540,충주시시설관리공단,043-870-7920,https://www.cjfmc.or.kr/bhf/index.do,37.05652102,127.8297473,2023.3.31,4390000,충청북도 충주시
계명산자연휴양림,충청북도,공유림,3630000,149,무료,Y,숲속의집+단체숙소,충청북도 충주시 충주호수로 1170,충주시시설관리공단,043-840-7930,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030042,36.9793629,127.9950872,2023.3.31,4390000,충청북도 충주시
태백고원자연휴양림,강원도,국유림,1404000,110,2000원,Y,"산림문화휴양관, 숲속의 집 , 야영장",강원도 태백시 머리골길153,태백시농업기술센터 산림축산과,033-550-2849,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030022,37.12357654,129.0603832,2023.4.5,4220000,강원도 태백시
청송자연휴양림,경상북도,공유림,2047212,160,개인(어른1000+청소년600+어린이300)+단체(어른800+청소년500+어린이200),Y,숲속의집+연수의집,경상북도 청송군 부남면 청송로 3478-96,경상북도 청송군청,054-872-3163,http://csong.foresttrip.go.kr/,36.3179023,129.0537598,2023.4.3,5160000,경상북도 청송군
용봉산자연휴양림,충청남도,공유림,1905504,3000,개인(일반 1000+청소년·군인 800+어린이 400)+단체(일반 800+청소년·군인 600+어린이 200),Y,산림휴양관+숲속의집+산림전시관,충청남도 홍성군 홍북읍 용봉산2길 87,충청남도 홍성군청 산림녹지과,041-630-1785,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030080,36.64528712,126.6566318,2023.3.30,4600000,충청남도 홍성군
대운산자연휴양림,경상남도,공유림,2137479,200,무료,Y,"숲속의집, 산림휴양관, 야영데크 등",경상남도 양산시 탑골길 208-124,양산시시설관리공단,055-379-8670,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030038,35.4164113,129.2105343,2023.3.23,5380000,경상남도 양산시
서운산자연휴양림,경기도,공유림,833571,214,무료,Y,숲속의집+오토캠핑장+야영장+카라반,경기도 안성시 금광면 배티로 185-39,경기도 안성시청,031-678-2913,https://www.anseong.go.kr/tourPortal/anseongforest/main.do,36.94238317,127.313722,2023.3.6,4080000,경기도 안성시
반딧불 자연휴양림,전라북도,공유림,31110,300,무료,Y,통나무집+목교+평상+평의자,전라북도 무주군 설천면 무설로 1324,전라북도 무주군청 시설사업소,063-320-5666,https://tour.muju.go.kr/bandiland/contents.do?key=399,36.01249047,127.7611881,2023.3.7,4740000,전라북도 무주군
거제자연휴양림,경상남도,공유림,329490,285,일반 1000,Y,숲속의집+ 산림문화휴양관,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제시청,055-639-8115,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030059,34.78569918,128.6259431,2023.3.20,5370000,경상남도 거제시
금봉자연휴양림,경상북도,공유림,380,800,1000원,Y,산림휴양관외,경상북도 의성군 옥산면 휴양림길 114,경상북도 의성군청,054-833-0123,http://www.foresttrip.go.kr,36.3360183,128.8807891,2023.3.20,5150000,경상북도 의성군
강화군 석모도자연휴양림,인천광역시,공유림,1283632,208,개인일반1000원+청소년군인800원+어린이500원+단체일반 800원+청소년군인600원+어린이300원,Y,숲속의 집+산림문화휴양관+족구장 등,인천광역시 강화군 삼산면 삼산서로 39-75,인천광역시 강화군청 산림공원과,032-932-1100,forest.ganghwa.go.kr,37.69963904,126.3154373,2023.3.17,3570000,인천광역시 강화군
강화군 티앤림 자연휴양림,인천광역시,사유림,320941,40,현재무료+이용료+집라인38000원+어드벤쳐22000원+패키지50000원,Y,숲속의집+집라인+어드벤쳐,인천광역시 강화군 불은면 중앙로 546-34,기전산업,032-937-7481,www.tianlim.co.kr,37.71482742,126.453839,2023.3.17,3570000,인천광역시 강화군
동강전망자연휴양림,강원도,공유림,448000,268,없음,N,오토캠핑장,강원도 정선군 신동읍 동강로 916-212,정선군시설관리공단,070-4225-2336,https://www.jsimc.or.kr,37.25962318,128.6079002,2023.3.16,4290000,강원도 정선군
바라산자연휴양림,경기도,공유림,2130953,470,무료,Y,숲속의집+야영장+치유의숲+체험의숲+산림문화휴양관,경기도 의왕시 바라산로 84,경기도 의왕시청+의왕도시공사,031-8086-7482,barasan.foresttrip.go.kr/,37.37310185,127.0193147,2023.3.13,4030000,경기도 의왕시
성불산자연휴양림,충청북도,공유림,581037,302,무료,Y,숲속의집+산림문화휴양관+숲관광메가시티+생태체험관+한옥체험관+생태공원+미선향테마파크+유아숲체험원,충청북도 괴산군 괴산읍 충민로기곡길 78,충청북도 괴산군청,043-830-2679,https://www.foresttrip.go.kr,36.80804701,127.8467688,2022.7.1,6430000,충청북도
수레의산자연휴양림,충청북도,공유림,890000,144,무료,Y,숙박시설+캠핑장+물놀이장+산책로+화장실 등,충청북도 음성군 생극면 차생로 310-108,충청북도 음성군청,043-878-2013,https://www.foresttrip.go.kr,37.03888915,127.6513855,2022.7.1,6430000,충청북도
백야자연휴양림,충청북도,공유림,370000,310,무료,Y,숙박시설+캠핑장+물놀이장+산책로+화장실 등,충청북도 음성군 금왕읍 백야로 461-97,충청북도 음성군청,043-878-2556,https://www.foresttrip.go.kr,36.95683852,127.6096498,2022.7.1,6430000,충청북도
소선암자연휴양림,충청북도,공유림,633137,312,무료,Y,통나무집+숲속의집+산림문화휴양관+산림복합휴양관,충청북도 단양군 단성면 대잠2길 15,충청북도 단양군청(위탁운영),043-422-7839,https://www.foresttrip.go.kr,36.91922142,128.3123127,2022.7.1,6430000,충청북도
용문산자연휴양림,경기도,공유림,870852,300,무료,Y,행복마루+솔마루+하늘마루+산림휴양관+숲속의집+생태행복관+야영데크 등,경기도 양평군 양평읍 약수사길 78-14,경기도 양평군청,031-775-4005,http://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030087,37.516048,127.519421,2022.11.28,4170000,경기도 양평군
양평쉬자파크,경기도,공유림,330834,538,무료,Y,치유의숲+치유의집+초가원+산림교육센터+치유센터+공원관리소+유아숲체험원+까페동 등,경기도 양평군 양평읍 쉬자파크길 193,경기도 양평군청,031-770-2497,https://www.swijapark.com,37.511222,127.533196,2022.11.28,4170000,경기도 양평군
설매재자연휴양림,경기도,사유림,349568,288,"유료→성인3000원+청소년,노인2000원+양평군민2000원",Y,숲속의집+산림휴양관+이벤트홀+데크야영 등,경기도 양평군 옥천면 용천로 510,개인(현철호),031-772-5955,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID04030004,37.556802,127.509356,2022.11.28,4170000,경기도 양평군
구수곡자연휴양림,경상북도,공유림,2000000,950,유료,Y,숲속의 집,경상북도 울진군 북면 십이령로 2721,경상북도 울진군청,054-783-2241,https://www.foresttrip.go.kr,37.06212162,129.2929279,2022.11.30,5250000,경상북도 울진군
금산산림문화타운,충청남도,공유림,316,3000,없음,Y,숲속의집+생태체험학습장+야영장+캠핑장 등,충청남도 금산군 남이면 느티골길 200,충청남도 금산군청,041-753-5706,https://gsforesttown.foresttrip.go.kr,36.06776064,127.3690934,2022.11.29,4550000,충청남도 금산군
진산자연휴양림,충청남도,사유림,137,350,없음,Y,숲속의집+산책로+캠핑장+글램핑장+짚핑,충청남도 금산군 진산면 대둔산로 6,진산자연휴양림,041-753-4242,www.ijinsan.co.kr,36.12303243,127.3441498,2022.11.29,4550000,충청남도 금산군
서대산약용자연휴양림,충청남도,사유림,29,500,없음,Y,산야초체험장+산약초음식점+숲속의집,충청남도 금산군 추부면 홍골1길 132,서대산약용자연휴양림,041-753-2222,www.sedaesan.modoo.at,36.22268671,127.5258197,2022.11.29,4550000,충청남도 금산군
심천치유자연휴양림,충청남도,사유림,700,200,없음,Y,숲속의집+야영장+캠핑장 등,충청남도 금산군 남일면 신동길 239,심천치유자연휴양림,041-752-8300,www.simcheon.kr,35.99504733,127.4849511,2022.11.29,4550000,충청남도 금산군
서귀포자연휴양림,제주특별자치도,국유림,2550000,1500,일반 1000원+청소년 600원+어린이 300원,Y,숲속의집+산림휴양관+세미나실+야영장+생태탐방코스,제주특별자치도 서귀포시 1100로 882,제주특별자치도 서귀포시,064-738-4544,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030013,33.3115002,126.458761,2022.12.15,6520000,제주특별자치도 서귀포시
붉은오름자연휴양림,제주특별자치도,공유림,1900000,1500,어른 1000원+청소년·군인 600원,Y,숲속의집+산림문화휴양관+세미나실+오름등반로+야외공연장,제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시,064-782-9171,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030014,33.401429,126.675671,2022.12.15,6520000,제주특별자치도 서귀포시
서귀포 치유의 숲,제주특별자치도,공유림,1740000,600,어른 1000원+청소년 600원,N,치유숲길,제주특별자치도 서귀포시 산록남로 2271,제주특별자치도 서귀포시,064-760-3067,https://seogwipo.go.kr/healing/index.htm,33.291941,126.527902,2022.12.15,6520000,제주특별자치도 서귀포시
운주산승마자연휴양림,경상북도,공유림,733932,298,무료,Y,숲속의집+야영데크+다목적구장+세미나실,경상북도 영천시 임고면 승마휴양림길 105,경상북도 영천시청,054-330-6287,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030081,36.03510258,128.996734,2022.11.16,5100000,경상북도 영천시
보현산자연휴양림,경상북도,공유림,51954,200,무료,Y,숲속의집+산림문화휴양관+야영데크+세미나실+다목적구장+하늘광장+출렁다리+어린이놀이터+우주광장,경상북도 영천시 화북면 배나무정길 334,경상북도 영천시청,054-336-6618,https://bhforest.foresttrip.go.kr,36.14210706,128.9781098,2022.11.16,5100000,경상북도 영천시
지리산자연휴양림(함양),경상남도,국유림,2267840,800,개인 어른1000원+개인 청소년 600원+개인 어린이 300원+단체 어른800원+단체 군인청소년 500원+단체 어린이 200원+다자녀가정 면제+동절기 입장료면제(12월~3월),Y,숲속의집+휴양관,경상남도 함양군 마천면 음정길 152,산림청,055-963-8133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0190,35.34644465,127.6430043,2022.11.29,6480000,경상남도
원동자연휴양림(양산),경상남도,사유림,747070,231,무료,Y,오토캠핑장,경상남도 양산시 원동면 늘밭로 64,개인,0507-1401-583,https://wondongforest.modoo.at/,35.39881801,128.9348445,2022.11.29,6480000,경상남도
덕원자연휴양림(하동),경상남도,사유림,1378675,100,무료,Y,숲속의집+휴양관,경상남도 하동군 옥종면 옥단로 1443-327,개인,055-884-0650,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID04030008,35.22915471,127.8552761,2022.11.29,6480000,경상남도
중산자연휴양림(산청),경상남도,사유림,436668,66,무료,N,숲속의집+휴양관,경상남도 산청군 시천면 지리산대로 496-101,개인,055-974-2757,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID04030006,35.2886177,127.7507425,2022.11.29,6480000,경상남도
용추자연휴양림,경상남도,공유림,1590000,400,무료,Y,산림문화휴양관+숲속의집+취사장+화장실+샤워장+야영장+관리사무실,경상남도 함양군 안의면 용추휴양림길 166,경상남도 함양군청,055-963-8702,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030047,35.6961266,127.7578596,2022.12.8,5460000,경상남도 함양군
산삼자연휴양림,경상남도,공유림,670000,200,무료,Y,산림문화휴양관+숲속의집+관리사무실,경상남도 함양군 서상면 가르내길 202-1,경상남도 함양군청,055-964-9886,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030048,35.69762431,127.6584311,2022.12.8,5460000,경상남도 함양군
성주산자연휴양림,충청남도,공유림,456,2000,성인1000원+청소년800원+군인800원+어린이400원,Y,성주산자연휴양림,충청남도 보령시 성주면 화장골길 57-228,충청남도 보령시 산림공원과,041-934-7133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030078,36.33256882,126.6639659,2022.11.30,4510000,충청남도 보령시
양촌자연휴양림,충청남도,공유림,405274,205,(일반)1000원+(단체)800원,Y,글램핑장(8동)+숲속의집(15동)+휴양관(7실),충청남도 논산시 양촌면 매죽헌로1723번길 176-23,충청남도 논산시청,041-746-6481,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030034,36.15726044,127.2464846,2022.11.24,4540000,충청남도 논산시
충북알프스자연휴양림,충청북도,공유림,902000,287,무료,Y,숲속의집+세미나실+목공예체험장 등,충청북도 보은군 산외면 속리산로 1880,속리산휴양사업소,043-540-3712,https://alpshuyang.foresttrip.go.kr/,36.57316547,127.7858442,2022.11.21,4420000,충청북도 보은군
속리산 숲체험휴양마을,충청북도,공유림,1100000,350,무료,Y,한옥마을+황토마을+통나무마을 등,충청북도 보은군 속리산면 속리산로 596,속리산휴양사업소,043-540-3220,http://songnihuyang.foresttrip.go.kr/,36.49245442,127.792472,2022.11.21,4420000,충청북도 보은군
거창 항노화 힐링랜드,경상남도,공유림,500000,2000,3000원(거창사랑상품권 2000원 환급),Y,출렁다리+산림휴양관+숲속의집+산림치유센터+자생식물원,경상남도 거창군 가조면 의상봉길 834,경상남도 거창군청,055-940-7930,http://healingland.foresttrip.go.kr/,35.73662049,128.0408983,2023.3.9,5470000,경상남도 거창군
문수산자연휴양림,경상북도,국유림,30000,500,자연휴양림으로 문의,Y,"산림휴양관, 묵상의집, 숲속의집, 야영데크 등",경상북도 봉화군 봉성면 시거리길 378,봉화군청 산림소득자원과,054-674-3700,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030102,36.950851,128.834816,2023.3.6,5240000,경상북도 봉화군
학가산우래자연휴양림,경상북도,사유림,1328133,220,성인3000+성인단체(20인이상)2000+청소년·어린이2000+청소년단체(20인이상)1000,Y,숲속의 집+산림휴양관,경상북도 예천군 보문면 휴양림길 210,(주)학가산자연휴양림개발,054-652-0114,http://www.hakasan.co.kr/,36.677929,128.592876,2023.3.8,5230000,경상북도 예천군
축령산자연휴양림,경기도,공유림,7790000,172,"일반1000원, 청소년 600원, 어린이 300원",Y,"숲속의집 7실, 산림휴양관18실, 축령관 1실, 야영데크30개 등",경기도 남양주시 수동면 축령산로 299,경기도산림환경연구소,031-8030-6690,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030050,37.75476804,127.313253,2023.3.7,6410000,경기도
강씨봉자연휴양림,경기도,공유림,9800000,102,"일반1000원, 청소년 600원, 어린이 300원",Y,"숲속의집, 산림휴양관 등",경기도 가평군 북면 논남기길 520,경기도산림환경연구소,031-8008-6611,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030019,37.96989302,127.4083285,2023.3.7,6410000,경기도
데미샘자연휴양림,전라북도,공유림,200000,131,무료,Y,휴양관+숲속의집+숲문화마당+명상의숲 등,전라북도 진안군 백운면 데미샘 1길 172,전라북도 산림환경연구소,063-290-6992,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030074,35.656988,127.461036,2023.2.27,6450000,전라북도
변산자연휴양림,전라북도,국유림,311000,250,숙박비 52000원+154000원,Y,숲속의집+휴양관+체험교실+물놀이장(현재 미운영),전라북도 부안군 변산면 변산로 3768,국립자연휴양림관리소,063-581-9977,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0189,35.58287781,126.523728,2023.2.27,4790000,전라북도 부안군
여수봉황산자연휴양림,전라남도,공유림,2290000,230,0,Y,"숲속의집,야영장 등",전라남도 여수시 돌산읍 대복길160,전라남도 여수시청,061-643-9180,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030097,34.61470237,127.7617999,2023.2.17,4810000,전라남도 여수시
불정자연휴양림,경상북도,공유림,275,200,어른 1000원+청소년ㆍ군인 800원 +어린이 500원,Y,숲속의집+카라반+야영장+물놀이장+야영데크,경상북도 문경시 불정길 180,문경관광진흥공단,054-553-9443,http://www.mgtpcr.or.kr,36.62128207,128.1365074,2023.2.13,5120000,경상북도 문경시
대야산자연휴양림,경상북도,국유림,820,500,어른 1000원+청소년 600원+어린이 300원,Y,산림문화휴양관+연립동+야영시설,경상북도 문경시 가은읍 용추길 31-35,국립자연휴양림관리소,054-571-7181,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0245,36.67090364,127.9619774,2023.2.13,5120000,경상북도 문경시
